SCATS Number,NB_LATITUDE,NB_LONGITUDE
0970,-37.8658525,145.0928575
2000,-37.8504732,145.0956739
2200,-37.8150900,145.0993972
2820,-37.7933350,145.0318100
2825,-37.7851600,145.0633700
2827,-37.7802893,145.0786814
2846,-37.8598543,145.0592245
3001,-37.8132050,145.0234875
3002,-37.8137125,145.0279225
3120,-37.8214450,145.0586375
3122,-37.8224067,145.0657433
3126,-37.8263967,145.0999267
3127,-37.8237767,145.0792967
3180,-37.7947633,145.0848567
3662,-37.8075025,145.0288075
3682,-37.8360250,145.0982175
3685,-37.8534467,145.0952600
3804,-37.8321925,145.0637425
3812,-37.8360400,145.0622150
4030,-37.7938800,145.0629567
4032,-37.8008475,145.0625800
4034,-37.8104000,145.0607550
4035,-37.8167064,145.0594726
4040,-37.8314217,145.0567733
4043,-37.8457100,145.0539775
4051,-37.7926933,145.0706833
4057,-37.8035250,145.0831150
4063,-37.8129225,145.0813550
4262,-37.8201000,145.0163800
4263,-37.8216062,145.0263080
4264,-37.8226775,145.0353550
4266,-37.8237975,145.0448028
4270,-37.8287775,145.0341650
4272,-37.8304333,145.0477433
4273,-37.8451400,145.0457800
4321,-37.7993879,145.0504690
4324,-37.8078823,145.0381977
4335,-37.8047650,145.0366000
4812,-37.8274633,145.0169367
4821,-37.8115150,145.0098200
